Date,Move Minutes count,Calories (kcal),Distance (m),Heart Points,Heart Minutes,Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Cycling duration (ms),Walking duration (ms),Running duration (ms),Calisthenics duration (ms)
2023-05-21,52,1370.6054093013558,1990.4278616938896,1.0,1,0.4615800259400084,1.1089302933197986,0.2612250277686477,3840,,,,,1649021,,
2023-05-22,91,1474.1865832875114,4176.10653928126,21.0,21,0.6338576043304064,1.6048506205895983,0.2612250277686477,7002,,,,,4366491,,
2023-05-23,73,1476.3064871279903,2699.578891755054,27.0,27,0.5810196694373823,1.4209990376272197,0.2511779113160074,4310,,,,1024002,3322807,,
2023-05-24,51,1381.6119678514317,1948.0728313922934,6.0,6,0.38273274033622695,1.395406289693067,0.2612250277686477,3160,,,,,1937781,,
2023-05-25,86,1462.5129145929866,3802.6621997001976,17.0,17,0.5458892070430936,1.4149399402463438,0.2546734289685164,6284,,,,,4060232,,
2023-05-26,128,1461.3877302694946,4404.326790542675,57.0,56,0.5042528839450011,1.879887094841455,0.2511779113160074,7234,,,,82595,3936264,,
2023-05-27,,1307.7499927282333,26.524387434970382,,,0.4896440624669059,0.6979688642598835,0.2813192606739283,248,,,,,,,
2023-05-28,12,1336.43146991666,173.01134531446587,8.0,8,0.3281839019228039,0.4186298353065866,0.2612250277686477,513,,,,547103,165131,,
2023-05-29,106,1483.5111530660513,4871.294653432306,26.0,26,0.5639134336235675,1.2652840138151544,0.2511779113160074,8003,,,,,4611123,,
2023-05-30,94,1474.9824802018813,4659.1955452138245,25.0,25,0.5152320318701337,1.6722832003995876,0.2612250277686477,7512,,,,,4387371,,
2023-05-31,123,1510.5370803449855,6100.393172864604,40.0,39,0.5891109893720051,1.8800683328641996,0.2501356795679433,9730,,,,,5320151,,
2023-06-01,155,1631.0219558142353,6808.768539114931,19.0,19,0.42381458411224887,1.3557783906545395,0.24951448235889762,11349,,,,,8481090,,
2023-06-02,69,1439.7746745238128,3459.2003123646787,23.0,23,0.4141454804992114,1.3629304933131086,0.2511779113160074,5647,,,,,3463689,,
2023-06-03,53,1353.3248675666214,1769.787149047202,,,0.35901827476843934,1.4050603840056097,0.2511779113160074,3285,,,,,1195664,,
2023-06-04,10,1311.9795453532067,343.0827560883549,,,0.3188348495170271,0.6185724681662869,0.29136637712656854,719,,,,,110963,,
2023-06-05,142,1593.966651220682,5004.0008920141145,72.0,72,0.6696949367979043,1.4353175832751432,0.2612250277686477,7965,,,,2647852,4666386,,
2023-06-06,94,1506.1043468705657,5162.749454766983,28.0,27,0.5260981029227474,2.0129823556197306,0.2511779113160074,8193,,,,,5203858,,
2023-06-07,25,1358.0104008411195,1144.8499232626532,5.0,5,0.47941364539663645,1.5503979911886623,0.25137389948051975,2007,,,,,1318589,,
2023-06-08,85,1447.0543102904019,3712.504763508135,13.0,13,0.5220173642055809,1.3170162466504294,0.2612250277686477,6202,,,,,3654673,,
2023-06-09,56,1418.2051503945786,2273.907524790728,6.0,6,0.3890345721564776,1.4859886412751675,0.271272144221288,3760,,,,,2897809,,
2023-06-10,80,1477.6546150230547,3623.532603034912,18.0,18,0.47679743054197504,1.382745093393213,0.2813192606739283,6085,,,,,4457476,,
2023-06-11,35,1376.0962339264756,1197.2633425386855,1.0,1,0.42806352096325456,2.352128763839125,0.27692728868938815,2126,,,,,1582372,84025,
2023-06-12,73,1443.05488161853,3535.6371242774912,24.0,24,0.4648944149822175,1.2906683841243483,0.2609640601887062,5714,,,,,3549746,,
2023-06-13,52,1391.5053969150747,2426.2937203829697,16.0,16,0.576114125239545,1.3400821307123123,0.2511779113160074,3949,,,,,2197335,,
